Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
3882,896,11380,30,0.23,2.93
633,275,1670,21,0.43,2.64
4089,1116,12030,32,0.27,2.94
1313,381,3610,29,0.29,2.75
1557,420,4420,30,0.27,2.84
635,213,1670,21,0.34,2.63
4521,1034,13320,32,0.23,2.95
2049,677,5790,29,0.33,2.83
2378,733,6780,30,0.31,2.85
173,56,390,15,0.32,2.25
3619,1045,10610,30,0.29,2.93
1650,443,4730,28,0.27,2.87
2565,571,7370,30,0.22,2.87
2923,804,8380,29,0.28,2.87
1681,1021,4800,30,0.61,2.86
4740,1204,13970,31,0.25,2.95
3435,1055,10140,29,0.31,2.95
2948,829,8530,26,0.28,2.89
298,196,810,15,0.66,2.72
291,86,810,15,0.30,2.78
3397,1412,10000,26,0.42,2.94
4942,1384,14540,32,0.28,2.94
3402,1098,10010,30,0.32,2.94
4880,2048,14330,31,0.42,2.94
3138,858,9150,30,0.27,2.92
2662,1109,7670,26,0.42,2.88
556,232,1470,21,0.42,2.64
3761,1183,10970,32,0.31,2.92
727,212,1890,21,0.29,2.60
4479,2005,13200,31,0.45,2.95
2649,769,7650,31,0.29,2.89
2232,813,6340,29,0.36,2.84
1849,570,5240,31,0.31,2.83
86,67,170,15,0.78,1.98
1639,461,4700,30,0.28,2.87
4074,1103,11960,32,0.27,2.94
248,88,660,15,0.35,2.66
2544,875,7310,31,0.34,2.87
3957,961,11620,32,0.24,2.94
1767,629,5020,30,0.36,2.84
4157,999,12250,33,0.24,2.95
3631,893,10640,32,0.25,2.93
4157,1437,12250,32,0.35,2.95
4818,1372,14200,31,0.28,2.95
921,347,2390,29,0.38,2.60
3492,934,10290,29,0.27,2.95
4476,1199,13190,31,0.27,2.95
81,23,160,13,0.28,1.98
2935,884,8440,30,0.30,2.88
3660,1425,10700,32,0.39,2.92
2958,713,8560,31,0.24,2.89
1414,362,3940,30,0.26,2.79
1150,603,3040,29,0.52,2.64
978,226,2580,29,0.23,2.64
3741,1009,10930,31,0.27,2.92
