Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
1466,469,4110,30,0.32,2.80
602,364,1580,21,0.60,2.62
1664,591,4780,30,0.36,2.87
4609,1575,13550,50,0.34,2.94
2850,1052,8220,28,0.37,2.88
4573,1343,13440,32,0.29,2.94
2337,751,6660,30,0.32,2.85
449,344,1210,16,0.77,2.69
3768,1254,11020,32,0.33,2.92
2366,775,6740,29,0.33,2.85
1355,576,3740,30,0.43,2.76
1671,607,4790,30,0.36,2.87
1835,546,5200,29,0.30,2.83
3176,1148,9240,29,0.36,2.91
4301,1260,12720,30,0.29,2.96
4186,1280,12330,32,0.31,2.95
4710,1231,13860,31,0.26,2.94
3338,1234,9860,29,0.37,2.95
4251,1283,12510,33,0.30,2.94
2481,862,7100,30,0.35,2.86
971,583,2580,29,0.60,2.66
2507,904,7220,30,0.36,2.88
3023,1060,8780,29,0.35,2.90
3745,1363,10930,33,0.36,2.92
4895,1873,14400,32,0.38,2.94
4281,1593,12610,32,0.37,2.95
3118,992,9060,29,0.32,2.91
3582,1037,10540,33,0.29,2.94
2085,754,5890,30,0.36,2.82
4995,1655,14690,33,0.33,2.94
169,90,380,15,0.53,2.25
1560,612,4420,29,0.39,2.83
4236,1391,12480,32,0.33,2.95
4689,1300,13770,31,0.28,2.94
127,63,250,15,0.50,1.97
4371,1440,12910,32,0.33,2.95
4168,1495,12290,31,0.36,2.95
3198,1463,9310,30,0.46,2.91
1842,945,5210,29,0.51,2.83
4222,1777,12410,32,0.42,2.94
2466,788,7050,30,0.32,2.86
1702,596,4860,30,0.35,2.86
3962,1241,11640,32,0.31,2.94
2619,904,7540,31,0.35,2.88
736,379,1900,25,0.51,2.58
4230,1216,12440,32,0.29,2.94
3531,984,10310,31,0.28,2.92
3211,992,9340,31,0.31,2.91
3205,1177,9320,30,0.37,2.91
2418,864,6880,30,0.36,2.85
3058,1837,8890,30,0.60,2.91
3482,905,10250,29,0.26,2.94
2307,755,6560,31,0.33,2.84
4215,1173,12410,32,0.28,2.94
2290,967,6520,29,0.42,2.85
3999,1449,11730,31,0.36,2.93
2460,807,7020,29,0.33,2.85
782,327,2010,31,0.42,2.57
384,342,1040,15,0.89,2.71
959,677,2540,29,0.71,2.65
2590,837,7460,30,0.32,2.88
3003,835,8710,30,0.28,2.90
4152,1275,12220,31,0.31,2.94
842,532,2180,28,0.63,2.59
3781,1160,11080,33,0.31,2.93
3513,953,10290,30,0.27,2.93
1561,622,4420,31,0.40,2.83
4261,1046,12570,33,0.25,2.95
66,71,120,12,1.08,1.82
2373,603,6770,29,0.25,2.85
1260,511,3510,29,0.41,2.79
4790,1726,14070,33,0.36,2.94
4153,1935,12220,33,0.47,2.94
1123,503,2930,30,0.45,2.61
2967,862,8610,29,0.29,2.90
2361,911,6730,29,0.39,2.85
3893,1143,11440,31,0.29,2.94
1961,671,5530,31,0.34,2.82
2524,874,7260,28,0.35,2.88
3385,912,9980,30,0.27,2.95
1990,696,5640,29,0.35,2.83
1002,360,2650,31,0.36,2.64
411,290,1140,16,0.71,2.77
1080,507,2810,30,0.47,2.60
4989,1644,14690,31,0.33,2.94
3114,1547,9060,29,0.50,2.91
3061,979,8900,29,0.32,2.91
3425,1254,10100,31,0.37,2.95
4015,1195,11790,33,0.30,2.94
2910,1010,8330,30,0.35,2.86
1657,784,4750,31,0.47,2.87
1272,537,3530,30,0.42,2.78
1463,635,4100,29,0.43,2.80
2708,868,7820,30,0.32,2.89
3903,1294,11480,31,0.33,2.94
844,456,2180,31,0.54,2.58
4082,1625,12000,32,0.40,2.94
848,369,2190,30,0.44,2.58
2970,956,8630,30,0.32,2.91
707,463,1850,21,0.65,2.62
3706,1640,10820,32,0.44,2.92
3304,1219,9750,29,0.37,2.95
2016,576,5690,31,0.29,2.82
2030,1532,5740,29,0.75,2.83
3740,1137,10930,32,0.30,2.92
29,37,80,7,1.28,2.76
2322,868,6610,29,0.37,2.85
4084,1198,12020,29,0.29,2.94
2738,1606,7880,30,0.59,2.88
973,450,2580,31,0.46,2.65
2794,1003,8090,30,0.36,2.90
4568,1349,13420,33,0.30,2.94
1048,502,2730,30,0.48,2.60
4566,1626,13420,31,0.36,2.94
2012,884,5680,30,0.44,2.82
2437,1021,6970,29,0.42,2.86
4774,1320,14050,31,0.28,2.94
4158,1828,12250,31,0.44,2.95
965,551,2570,30,0.57,2.66
813,293,2130,30,0.36,2.62
3553,1027,10410,32,0.29,2.93
4086,1246,12030,33,0.30,2.94
2249,891,6400,30,0.40,2.85
2417,764,6880,30,0.32,2.85
1477,601,4130,30,0.41,2.80
2555,1171,7350,29,0.46,2.88
1847,736,5220,30,0.40,2.83
4371,1404,12910,31,0.32,2.95
1941,898,5480,29,0.46,2.82
4500,1769,13290,31,0.39,2.95
212,117,520,15,0.55,2.45
2874,1128,8260,29,0.39,2.87
38,89,90,9,2.34,2.37
2754,959,7950,29,0.35,2.89
1812,669,5140,31,0.37,2.84
1693,756,4840,30,0.45,2.86
919,670,2390,30,0.73,2.60
4109,2164,12050,32,0.53,2.93
2354,740,6700,28,0.31,2.85
1067,508,2790,30,0.48,2.61
3303,1758,9740,30,0.53,2.95
971,456,2580,31,0.47,2.66
4011,1716,11780,33,0.43,2.94
3586,939,10550,32,0.26,2.94
1428,633,4020,31,0.44,2.82
2858,1245,8240,31,0.44,2.88
2699,915,7770,30,0.34,2.88
2666,797,7690,30,0.30,2.88
2185,1479,6270,30,0.68,2.87
3093,918,9020,30,0.30,2.92
771,540,1980,30,0.70,2.57
1227,466,3370,29,0.38,2.75
2778,1242,8000,30,0.45,2.88
2077,828,5870,30,0.40,2.83
2882,927,8270,28,0.32,2.87
3379,943,9960,30,0.28,2.95
1681,604,4800,30,0.36,2.86
3752,935,10960,33,0.25,2.92
239,115,600,14,0.48,2.51
4784,1321,14070,32,0.28,2.94
3072,1193,8940,29,0.39,2.91
4409,1529,13010,32,0.35,2.95
3873,1021,11350,32,0.26,2.93
4714,1230,13880,32,0.26,2.94
2527,1073,7260,31,0.42,2.87
